JGP,OK1,OK2,OK3,OK4,SG1,SG2,SG3,SG4,SGD,SJA,SJD,SJN
RJAW,CYVR,RCKH,VCBI,OPIS,RCSS,CYYZ,RCTP,RKJJ,PANC,,RJBE,RJAA
RPLC,CYXY,RCSS,VDPP,OPKC,RKJK,FAOR,VDSV,RKPC,RPVK,,RJCB,RJAF
RPLL,EDDF,RCTP,VDSR,RPLC,RKNY,KSFO,VECC,RKSI,WBKK,,RJCH,RJAH
RPLP,EGLL,RKJJ,VDSV,RPLL,RKPC,LSZH,VGHS,RKSS,ZUBJ,,RJDB,RJBB
RPMC,EHAM,RKJK,VECC,RPLP,RKPK,PASY,VTBS,RKTN,ZULB,,RJFT,RJCC
RPMD,EKCH,RKJY,VHHH,RPMC,RKPU,PGSN,VTCT,RKTU,ZUPS,,RJNA,RJCK
RPME,EPWA,RKNY,VIDP,RPMD,RKSI,UHWW,VTSG,ZBCF,ZUTR,,RJNS,RJCM
RPMG,ESSA,RKPC,VMMC,RPME,RKTH,VLVT,ZGBS,ZBDS,ZUUU,,RJNT,RJFF
RPMO,HKJK,RKPK,VNKT,RPMG,ZBXZ,VTCC,ZGCD,ZHCC,ZUYI,,RJOC,RJFK
RPMP,KJFK,RKPU,VRMM,RPMO,ZGYY,VTSM,ZGDY,ZHES,,,RJOM,RJFM
RPMY,KLAX,RKSI,VTBS,RPMP,ZHYC,VVCR,ZGGG,ZHHH,,,RJOO,RJFO
RPNS,KORD,RKSS,VTSM,RPMY,ZSCN,VVDN,ZGHZ,ZHLY,,,RJOT,RJFS
RPSP,KSEA,RKTN,VTSP,RPNS,ZSFZ,VVTS,ZGKL,ZLDL,,,RJSA,RJFU
RPUN,KSFO,RKTU,VVDN,RPSP,ZSNJ,,ZGLG,ZLGM,,,RJSC,RJGG
RPUT,LEMD,ZBAA,VVNB,RPUN,ZSPD,,ZGMX,ZLGY,,,RJSI,RJKA
RPVA,LFPG,ZBAD,VVTS,RPUT,ZSSS,,ZGOW,ZLTS,,,RJSM,RJNK
RPVD,LGAV,ZBDS,VYMD,RPVA,ZYCC,,ZGSD,ZLYS,,,,RJOA
RPVE,LIMC,ZBDT,VYYY,RPVD,ZYHB,,ZGZJ,ZSAM,,,,RJOB
RPVI,LIRF,ZBHH,ZGCJ,RPVE,ZYTL,,ZPDQ,ZSFY,,,,RJOH
RPVJ,LKPR,ZBOW,ZGDY,RPVI,,,ZPLJ,ZSJN,,,,RJSN
RPVK,LOWW,ZBSJ,ZGGG,RPVM,,,ZPMS,ZSJU,,,,RJSS
RPVM,LSZH,ZBTJ,ZGHA,RPVP,,,ZPPP,ZSLO,,,,RJTT
RPVP,LTBA,ZBUL,ZGHZ,RPVR,,,ZSGZ,ZSSR,,,,ROAH
RPVR,NZAA,ZBXH,ZGNN,RPVV,,,,ZSTX,,,,ROIG
RPVV,OMDB,ZBXZ,ZGOW,UAAA,,,,ZSWX,,,,
PAFA,PAFA,ZBYN,ZGSD,UHMM,,,,ZSWY,,,,
PANC,PANC,ZHCC,ZGSZ,UIBB,,,,ZSWZ,,,,
,PASY,ZHES,ZJHK,UIII,,,,ZSYT,,,,
,PGSN,ZHHH,ZJSY,ULLI,,,,ZSZS,,,,
,PGUM,ZHLY,ZPDQ,UNAA,,,,ZWKL,,,,
,PWAK,ZHSN,ZPJH,UNNT,,,,ZWKM,,,,
,UEEE,ZHYC,ZPMS,UOOO,,,,ZWWW,,,,
,UHHH,ZLDL,ZPPP,USCC,,,,,,,,
,UHMA,ZLGM,ZUAL,UUDD,,,,,,,,
,UHPP,ZLGY,ZUBD,UWLW,,,,,,,,
,UHSS,ZLIC,ZUBJ,WADD,,,,,,,,
,UHWW,ZLLL,ZUBZ,WAHI,,,,,,,,
,UMMS,ZLTS,ZUCK,WARR,,,,,,,,
,UUEE,ZLXY,ZUDC,WIII,,,,,,,,
,YMML,ZLYL,ZUDX,WIOO,,,,,,,,
,YSSY,ZLYS,ZUGU,WMKK,,,,,,,,
,,ZMUB,ZUGY,WSSS,,,,,,,,
,,ZSAM,ZUHY,ZYDD,,,,,,,,
,,ZSCG,ZUJZ,ZYDQ,,,,,,,,
,,ZSCN,ZULB,ZYJM,,,,,,,,
,,ZSFZ,ZULS,ZYJS,,,,,,,,
,,ZSHC,ZULZ,ZYTN,,,,,,,,
,,ZSJN,ZUMT,ZYTX,,,,,,,,
,,ZSNB,ZUMY,ZYYJ,,,,,,,,
,,ZSNJ,ZUNZ,,,,,,,,,
,,ZSNT,ZUPS,,,,,,,,,
,,ZSOF,ZUTR,,,,,,,,,
,,ZSPD,ZUUU,,,,,,,,,
,,ZSQD,ZUWX,,,,,,,,,
,,ZSSS,ZUXC,,,,,,,,,
,,ZSTX,ZUYB,,,,,,,,,
,,ZSWH,ZUYI,,,,,,,,,
,,ZSWY,ZUZH,,,,,,,,,
,,ZSYT,ZUZY,,,,,,,,,
,,ZSYW,,,,,,,,,,
,,ZURK,,,,,,,,,,
,,ZWKL,,,,,,,,,,
,,ZWKM,,,,,,,,,,
,,ZWWW,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
